timestamp,proxy_id,host,cpu,mem,cc,cs,http,https,ftp,interfaces,status
2026-01-07 23:56:08,1,192.168.1.10,,,,,,,,,수집 타임아웃
2026-01-08 00:13:16,2,192.168.1.11,,,,,,,,,성공
2026-01-08 00:29:37,1,192.168.1.10,,,,,,,,,수집 타임아웃
2026-01-08 00:46:22,2,192.168.1.11,,,,,,,,,성공
2026-01-08 01:03:02,1,192.168.1.10,,,,,,,,,수집 타임아웃
2026-01-08 01:03:04,2,192.168.1.11,,,,,,,,,성공
2026-01-08 01:34:50,1,192.168.1.10,,,,,,,,,수집 타임아웃
2026-01-08 01:34:52,2,192.168.1.11,,,,,,,,,성공
2026-01-08 01:40:53,1,192.168.1.10,,,,,,,,,수집 타임아웃
2026-01-08 01:40:55,2,192.168.1.11,,,,,,,,,성공
2026-01-08 01:58:18,1,192.168.1.10,,,,,,,,,수집 타임아웃
2026-01-08 02:13:58,2,192.168.1.11,,,,,,,,,성공
2026-01-08 02:30:44,1,192.168.1.10,,,,,,,,,수집 타임아웃
2026-01-08 02:46:15,2,192.168.1.11,,,,,,,,,성공
2026-01-08 03:02:44,1,192.168.1.10,,,,,,,,,수집 타임아웃
2026-01-08 03:02:46,2,192.168.1.11,,,,,,,,,성공
2026-01-08 03:35:28,1,192.168.1.10,,,,,,,,,수집 타임아웃
2026-01-08 03:35:30,2,192.168.1.11,,,,,,,,,성공
2026-01-08 03:52:58,1,192.168.1.10,,,,,,,,,수집 타임아웃
2026-01-08 03:53:00,2,192.168.1.11,,,,,,,,,성공
2026-01-08 04:08:34,1,192.168.1.10,,,,,,,,,수집 타임아웃
2026-01-08 04:24:34,2,192.168.1.11,,,,,,,,,성공
2026-01-08 04:40:07,1,192.168.1.10,,,,,,,,,수집 타임아웃
2026-01-08 04:40:09,2,192.168.1.11,,,,,,,,,성공
2026-01-08 04:40:17,1,192.168.1.10,,,,,,,,,수집 타임아웃
2026-01-08 04:40:19,2,192.168.1.11,,,,,,,,,성공
2026-01-08 04:58:38,1,192.168.1.10,,,,,,,,,수집 타임아웃
2026-01-08 05:15:33,2,192.168.1.11,,,,,,,,,성공
2026-01-08 05:32:42,1,192.168.1.10,,,,,,,,,수집 타임아웃
